epoch,acc,loss,mean_squared_error,val_acc,val_loss,val_mean_squared_error
0,0.082578125,3.17393781304,21.5968165288,0.048828125,2.53838041425,9.12054976821
1,0.085078125,2.66891910341,15.8421386153,0.068359375,1.97107226402,5.86105690897
2,0.1058125,1.96609765247,8.67145100808,0.0859375,1.63764575869,4.26764671504
3,0.1190625,1.72677617341,6.82596040893,0.125,1.5349611789,3.93234787881
4,0.13121875,1.5611319401,5.67137985951,0.08203125,1.4335148856,3.71979548037
5,0.1425625,1.43530249429,4.86024406666,0.091796875,1.39669156075,3.31862604618
6,0.1495,1.35357229763,4.25838979173,0.123046875,1.37874404341,3.05320747197
7,0.159265625,1.28253600413,3.87442956993,0.107421875,1.31679953635,3.02910203487
8,0.1656875,1.21556800106,3.5041857889,0.109375,1.44639895856,3.46970469505
9,0.172515625,1.16370848611,3.18674195892,0.107421875,1.47258955985,3.4843981117
10,0.175734375,1.12034531303,2.93739283296,0.087890625,1.36819545925,2.95198091865
11,0.180390625,1.08298325777,2.78549466939,0.08203125,1.47120662779,3.57710301876
12,0.185515625,1.0473571142,2.59286048436,0.08984375,1.58622143418,3.84933741391
13,0.187625,1.02887500256,2.55393937907,0.115234375,1.37343721464,3.21006572247
14,0.19303125,1.00258891746,2.40588925502,0.09765625,1.49571244419,3.59544305503
15,0.194265625,0.983524185628,2.28738087103,0.087890625,1.4864756763,3.61017365754
16,0.197453125,0.959237851918,2.18166105221,0.08984375,1.59342701733,4.13481527567
17,0.199109375,0.937013756692,2.07862966213,0.111328125,1.43829070777,3.24474312365
18,0.204109375,0.912881404862,1.97249993314,0.078125,1.4666858241,3.54615877569
19,0.2089375,0.904173074558,1.953625043,0.091796875,1.39719665796,3.29350011051
20,0.211328125,0.883319615096,1.84908512834,0.060546875,1.46847230941,3.27887190878
21,0.212515625,0.873578759,1.77546552758,0.109375,1.54712866247,3.88972397149
22,0.2140625,0.858085406721,1.73380237536,0.1015625,1.38648600131,3.21558728069
23,0.216765625,0.849093530998,1.68903626955,0.09765625,1.414906919,3.34843328595
24,0.2205,0.829556426749,1.60947848419,0.10546875,1.5215286836,3.85612168908
25,0.22125,0.826013518423,1.58235325752,0.10546875,1.41211228073,3.29177586734
